month,Environmental,Social,Governance
2016-03-01,8,15,7
2016-04-01,8,25,20
2016-05-01,7,22,16
2016-06-01,12,29,10
2016-07-01,6,24,19
2016-08-01,8,55,21
2016-09-01,16,35,13
2016-10-01,12,23,21
2016-11-01,10,27,21
2016-12-01,13,41,27
2017-01-01,5,30,24
2017-02-01,5,18,7
2017-03-01,10,26,22
2017-04-01,3,17,12
2017-05-01,9,25,22
2017-06-01,15,58,58
2017-07-01,7,13,7
2017-08-01,18,50,43
2017-09-01,8,27,28
2017-10-01,8,115,103
2017-11-01,3,16,13
2017-12-01,12,30,16
2018-01-01,8,24,22
2018-02-01,19,24,30
2018-03-01,6,30,42
2018-04-01,8,29,35
2018-05-01,3,25,22
2018-06-01,22,36,26
2018-07-01,13,34,29
2018-08-01,5,22,21
2018-09-01,3,58,41
2018-10-01,2,42,38
2018-11-01,9,40,33
2018-12-01,5,24,18
2019-01-01,16,92,79
2019-02-01,10,49,51
2019-03-01,2,36,22
2019-04-01,24,45,27
2019-05-01,3,56,60
2019-06-01,9,60,60
2019-07-01,7,54,61
2019-08-01,25,62,64
2019-09-01,8,23,26
2019-10-01,16,25,33
2019-11-01,26,44,45
2019-12-01,4,25,18
2020-01-01,4,14,23
2020-02-01,6,24,20
2020-03-01,7,22,13
2020-04-01,8,31,29
2020-05-01,11,49,29
2020-06-01,4,50,39
2020-07-01,3,28,18
2020-08-01,4,20,15
2020-09-01,2,31,20
2020-10-01,8,38,28
2020-11-01,5,18,14
2020-12-01,4,14,5
2021-01-01,12,32,30
2021-02-01,4,14,18
2021-03-01,2,17,15
2021-04-01,3,8,8
2021-05-01,10,14,10
2021-06-01,9,20,5
2021-07-01,10,20,19
2021-08-01,4,20,17
2021-09-01,6,24,28
2021-10-01,5,19,19
2021-11-01,7,19,15
2021-12-01,7,19,18
2022-01-01,3,18,17
2022-02-01,12,18,20
2022-03-01,10,28,27
2022-04-01,7,22,15
2022-05-01,5,27,38
2022-06-01,4,24,20
2022-07-01,4,13,11
2022-08-01,2,15,10
2022-09-01,6,17,11
2022-10-01,8,19,13
2022-11-01,2,11,6
2022-12-01,13,21,19
2023-01-01,11,34,29
2023-02-01,13,28,26
2023-03-01,10,21,21
2023-04-01,12,38,33
2023-05-01,20,54,47
2023-06-01,10,25,27
2023-07-01,3,16,18
2023-08-01,11,50,35
2023-09-01,20,57,47
2023-10-01,13,42,32
2023-11-01,9,29,16
2023-12-01,57,82,64
2024-01-01,16,33,24
2024-02-01,35,54,45
2024-03-01,12,25,19
2024-04-01,23,44,42
2024-05-01,6,16,16
2024-06-01,10,24,25
2024-07-01,18,28,28
2024-08-01,28,50,31
2024-09-01,29,56,40
2024-10-01,26,50,35
2024-11-01,10,40,30
2024-12-01,32,66,42
2025-01-01,31,49,46
2025-02-01,19,45,45
2025-03-01,34,53,46
2025-04-01,8,39,28
2025-05-01,21,29,24
2025-06-01,5,15,13
2025-07-01,10,32,23
2025-08-01,47,68,55
2025-09-01,63,80,77
2025-10-01,11,28,25
2025-11-01,20,28,24
2025-12-01,22,37,30
2026-01-01,17,29,27
2026-02-01,23,53,40
2026-03-01,1,10,12
