impact_level2,count
Livelihoods & Economy,5041
"Regulation, Compliance & Institutions",2586
"Health, Safety & Well-being",1471
Transparency & Accountability,1379
"Land, Soil & Geology",1024
Stakeholder Engagement & Rights,924
"Equity, Rights & Vulnerable Groups",833
Water Resources,810
Reputation & Social License,806
Living Conditions & Social Fabric,788
Air & Climate,619
Biodiversity & Ecosystems,342
Risk Management & Long-Term Stewardship,326
Quality of Work Life,113
Energy demand and consumption,19
Noise & Disturbance,11
"Freshwater ecotoxicity (heavy metals, pH changes, sensitive species)",11
Wealth distribution and inequality,9
Water management challenges,9
Clean/renewable energy integration (mitigation-related impact),9
Impacts on aquatic ecosystems and life below water,9
Surface water pollution and quality degradation,9
Greenhouse gas emissions (GHGs),7
Fossil fuel consumption,6
Ecosystem degradation and habitat loss/fragmentation,5
Groundwater contamination,4
Deforestation,3
Acid mine drainage,3
"Carbon sink destruction (deforestation, land clearing)",2
"Noise pollution (drilling, blasting, crushing, hauling)",2
Labor conditions and workplace dignity,2
Impacts on terrestrial ecotoxicity,2
Tailings generation and management,2
Land disturbance and land-use change,1
Ecosystem recovery through reclamation and restoration (post-mining impact),1
"Social infrastructure and amenities (education, healthcare, public services, leisure)",1
Water table alteration and drainage issues,1
Land ownership impacts and regional value changes,1
Stakeholder inclusion and community participation,1
Freedom and justice impacts in nearby communities,1
"Crime and social disorder (corruption, violence, substance abuse)",1
"Air quality degradation (dust, diesel exhaust, blasting emissions)",1
Education and training opportunities,1
Enforcement of environmental and social regulations,1
Topsoil degradation and loss of soil fertility,1
Loss of ecosystem services,1
"Human capital development (skills, training, workforce development)",1
