unmapped_region,count
Zambia,11
Mufumbwe District,4
Kakosa,4
Kalusale community,4
Lumwana West,3
Kansanshi,3
Katanga province,3
Chisamba district,2
Jimbe,2
Rufunsa district,2
Lumwana,2
"Hippo Pool, Kakosa, Shimulala and Hellen",2
Lower Zambezi,2
Rufunsa,2
northwest of the country,2
Kasaba Bay,2
North West Province,2
Munkoyo,2
Kalusale,2
Chama pit,2
Shiwang'andu District,2
Kariba Dam,1
Tete,1
copper-belt region,1
Lake Tanganyika,1
Kwa-Zulu Natal province,1
Nampundwe,1
Chisamba,1
Kafubu river,1
copper-belt,1
"Zimba, Kankoyo constituency",1
"Chiadzwa, Manicaland",1
Nyungu,1
Barosteland,1
Barotseland,1
Fipe area at Shinkole village in Senior Chief Mwewa’s area,1
Mufumbwe,1
Mabiza,1
Lumezi district,1
Roan constituency,1
Zambezi Game Park,1
Lower Zambezi valley,1
Luano District,1
Magoye,1
Shimabala,1
"Shimulala, Kakosa, Hippo Pool and Hellen",1
Zambian Copper-belt,1
Copper-belt,1
Cheyeza East,1
Kafubu area,1
North Luangwa,1
"Chinyongola, Chibombo District",1
Mpumalanga Highveld region,1
Mwenda,1
Zambia’s copper-belt,1
Zambezi,1
"Zumwanda area, Lumezi District",1
Manyinga,1
"Sub-Chief Kunda-Mfumu chiefdom, Chembe district",1
Mfuwe,1
Siavonga,1
Mutare,1
near Lake Tanganyika,1
Lower Zambezi park,1
"Luangwa district, Lower Zambezi",1
Kenneth Kaunda Airport,1
Ibex Hill,1
immediately north of Kariba,1
Bwana Mkubwa,1
Northwest province,1
Great Lakes region,1
Republic of Zambia,1
Roan Constituency,1
copper-belt province,1
North-West Zambia,1
south of the nation,1
all the ten provinces,1
Kapiri-Mposhi,1
Kariba,1
copper-belt of Zambia,1
Sikoongo Village and Dambilo community,1
East Zambia,1
Beira Corridor,1
north-west Zambia,1
"Cheyeza (tenement area including Cheyeza, Nkwazhi, Fwiji, Nyambwezu, Lumbeta)",1
"Mbuzi Village, Lumezi District",1
Kenneth Kaunda International Airport (KKIA),1
Kalulishi,1
"Chipembi area, Chisamba District",1
Domes Region,1
Lukanga swamps; Zambezi floodplain,1
Mufumbwe district,1
Kalengwa,1
Northwest Province,1
Waisha,1
